cell_type1	dataset
Mature Proximal tubule_pool20	Mature Proximal tubule	Mature
Mature Proximal tubule_pool21	Mature Proximal tubule	Mature
Mature Proximal tubule_pool22	Mature Proximal tubule	Mature
Mature Proximal tubule_pool23	Mature Proximal tubule	Mature
Mature Proximal tubule_pool24	Mature Proximal tubule	Mature
Mature Proximal tubule_pool25	Mature Proximal tubule	Mature
Mature Proximal tubule_pool26	Mature Proximal tubule	Mature
Mature Proximal tubule_pool27	Mature Proximal tubule	Mature
Mature Proximal tubule_pool28	Mature Proximal tubule	Mature
Mature Proximal tubule_pool29	Mature Proximal tubule	Mature
Mature Proximal tubule_pool30	Mature Proximal tubule	Mature
Mature Proximal tubule_pool31	Mature Proximal tubule	Mature
Mature Proximal tubule_pool32	Mature Proximal tubule	Mature
Mature Proximal tubule_pool33	Mature Proximal tubule	Mature
Mature Proximal tubule_pool34	Mature Proximal tubule	Mature
Mature Proximal tubule_pool35	Mature Proximal tubule	Mature
Mature Proximal tubule_pool36	Mature Proximal tubule	Mature
Mature Proximal tubule_pool37	Mature Proximal tubule	Mature
Mature Proximal tubule_pool38	Mature Proximal tubule	Mature
Mature Proximal tubule_pool39	Mature Proximal tubule	Mature
Mature Proximal tubule_pool40	Mature Proximal tubule	Mature
Mature Proximal tubule_pool41	Mature Proximal tubule	Mature
Mature Proximal tubule_pool42	Mature Proximal tubule	Mature
Mature Proximal tubule_pool43	Mature Proximal tubule	Mature
Mature Proximal tubule_pool44	Mature Proximal tubule	Mature
Mature Proximal tubule_pool45	Mature Proximal tubule	Mature
Mature Proximal tubule_pool46	Mature Proximal tubule	Mature
Mature Proximal tubule_pool47	Mature Proximal tubule	Mature
Mature Proximal tubule_pool48	Mature Proximal tubule	Mature
Mature Proximal tubule_pool49	Mature Proximal tubule	Mature
Mature Proximal tubule_pool50	Mature Proximal tubule	Mature
Mature Proximal tubule_pool51	Mature Proximal tubule	Mature
Mature Proximal tubule_pool52	Mature Proximal tubule	Mature
Mature Proximal tubule_pool53	Mature Proximal tubule	Mature
Mature Proximal tubule_pool54	Mature Proximal tubule	Mature
Mature Proximal tubule_pool55	Mature Proximal tubule	Mature
Mature Proximal tubule_pool56	Mature Proximal tubule	Mature
Mature Proximal tubule_pool57	Mature Proximal tubule	Mature
Mature Proximal tubule_pool58	Mature Proximal tubule	Mature
Mature Proximal tubule_pool59	Mature Proximal tubule	Mature
Mature Proximal tubule_pool60	Mature Proximal tubule	Mature
Mature Proximal tubule_pool61	Mature Proximal tubule	Mature
Mature Proximal tubule_pool62	Mature Proximal tubule	Mature
Mature Proximal tubule_pool63	Mature Proximal tubule	Mature
Mature Proximal tubule_pool64	Mature Proximal tubule	Mature
Mature Proximal tubule_pool65	Mature Proximal tubule	Mature
Mature Proximal tubule_pool66	Mature Proximal tubule	Mature
Mature Proximal tubule_pool67	Mature Proximal tubule	Mature
Mature Proximal tubule_pool68	Mature Proximal tubule	Mature
Mature Proximal tubule_pool69	Mature Proximal tubule	Mature
Mature Proximal tubule_pool70	Mature Proximal tubule	Mature
Mature Proximal tubule_pool71	Mature Proximal tubule	Mature
Mature Proximal tubule_pool72	Mature Proximal tubule	Mature
Mature Proximal tubule_pool73	Mature Proximal tubule	Mature
Mature Proximal tubule_pool74	Mature Proximal tubule	Mature
Mature Proximal tubule_pool75	Mature Proximal tubule	Mature
Mature Proximal tubule_pool76	Mature Proximal tubule	Mature
Mature Proximal tubule_pool77	Mature Proximal tubule	Mature
Mature Proximal tubule_pool78	Mature Proximal tubule	Mature
Mature Proximal tubule_pool79	Mature Proximal tubule	Mature
Mature Proximal tubule_pool80	Mature Proximal tubule	Mature
Mature Proximal tubule_pool81	Mature Proximal tubule	Mature
Mature Proximal tubule_pool82	Mature Proximal tubule	Mature
Mature Proximal tubule_pool83	Mature Proximal tubule	Mature
Mature Proximal tubule_pool84	Mature Proximal tubule	Mature
Mature Proximal tubule_pool85	Mature Proximal tubule	Mature
Mature Proximal tubule_pool86	Mature Proximal tubule	Mature
Mature Proximal tubule_pool87	Mature Proximal tubule	Mature
Mature Proximal tubule_pool88	Mature Proximal tubule	Mature
Mature Proximal tubule_pool89	Mature Proximal tubule	Mature
Mature Proximal tubule_pool90	Mature Proximal tubule	Mature
Mature Proximal tubule_pool91	Mature Proximal tubule	Mature
Mature Proximal tubule_pool92	Mature Proximal tubule	Mature
Mature Proximal tubule_pool93	Mature Proximal tubule	Mature
Mature Proximal tubule_pool94	Mature Proximal tubule	Mature
Mature Proximal tubule_pool95	Mature Proximal tubule	Mature
Mature Proximal tubule_pool96	Mature Proximal tubule	Mature
Mature Proximal tubule_pool97	Mature Proximal tubule	Mature
Mature Proximal tubule_pool98	Mature Proximal tubule	Mature
Mature Proximal tubule_pool99	Mature Proximal tubule	Mature
Mature Proximal tubule_pool100	Mature Proximal tubule	Mature
Mature Proximal tubule_pool101	Mature Proximal tubule	Mature
Mature Proximal tubule_pool102	Mature Proximal tubule	Mature
Mature Proximal tubule_pool103	Mature Proximal tubule	Mature
Mature Proximal tubule_pool104	Mature Proximal tubule	Mature
Mature Proximal tubule_pool105	Mature Proximal tubule	Mature
Mature Proximal tubule_pool106	Mature Proximal tubule	Mature
Mature Proximal tubule_pool107	Mature Proximal tubule	Mature
Mature Proximal tubule_pool108	Mature Proximal tubule	Mature
Mature Proximal tubule_pool109	Mature Proximal tubule	Mature
Mature Proximal tubule_pool110	Mature Proximal tubule	Mature
Mature Proximal tubule_pool111	Mature Proximal tubule	Mature
Mature Proximal tubule_pool112	Mature Proximal tubule	Mature
Mature Proximal tubule_pool113	Mature Proximal tubule	Mature
Mature Proximal tubule_pool114	Mature Proximal tubule	Mature
Mature Proximal tubule_pool115	Mature Proximal tubule	Mature
Mature Proximal tubule_pool116	Mature Proximal tubule	Mature
Mature Proximal tubule_pool117	Mature Proximal tubule	Mature
Mature Proximal tubule_pool118	Mature Proximal tubule	Mature
Mature Proximal tubule_pool119	Mature Proximal tubule	Mature
